Column,Layer,TDC_id,TDC_Ch_id,T0[ns],TMax[ns],ADC_peak[ns],ADC_width[ns],Resolution[um],Efficiency
17,5,25,22,278.1439078599097,199.7204247308635,129.032246868499,19.185976196543155,109.65960036072026,0.991463105401065
17,6,25,23,280.2180588135008,202.95990279110327,153.473568909042,21.718163196661486,108.22820311753482,0.993869268629652
17,7,25,20,279.656924026987,202.54497275475512,161.19196815482508,25.057377466960368,101.07931384868735,0.9928503747092773
17,8,25,21,280.3189634654615,200.8313849939757,148.69704442446033,22.146826689256393,106.91947883405159,0.9907352316192095
18,1,26,2,288.8324558331774,189.94387385385386,153.29897728672353,22.86518899644041,113.9869507835249,0.9811027935000913
18,2,26,3,289.20699629139125,189.82620596845896,152.31584961261046,22.61972085965379,109.45353976448324,0.9893474174201057
18,3,26,0,291.0204703563553,188.88033641240463,177.67468349094318,26.361493991296022,106.3328832657162,0.9936005688383255
18,4,26,1,287.5701196234168,189.99854592789728,139.28864859435765,21.623038662176896,113.33279673822791,0.990161318915086
18,5,27,2,277.41033657803854,202.06237508903382,136.79983464584234,21.59806677805647,105.44778258758569,0.993711790393013
18,6,27,3,277.68393664698254,201.99386505347803,138.59964515991325,21.197816190183374,102.8022432392438,0.9936223390502457
18,7,27,0,280.55980056453626,203.74876611311646,172.3103340486203,26.663935516121423,103.40952615594362,0.9934987168520103
18,8,27,1,279.88648778833823,200.9995703205227,158.2588169435061,23.241142318098618,111.41264154309901,0.9910412440838404
19,1,26,6,287.46988979775534,189.63219214408036,136.00605445431242,20.678015744973493,113.45899557343627,0.9809717674130454
19,2,26,7,289.42414481805423,190.0970498622765,156.64604887139856,22.364108974894705,105.22888277651265,0.9906776622445321
19,3,26,4,291.1133036411069,189.38032862401542,181.22775345988384,27.357523728271353,110.31646805563763,0.99187282307761
19,4,26,5,288.43359861441957,188.4473370655113,137.8910111635448,22.13270316890457,108.50400473601775,0.9914772727272727
19,5,27,6,279.589543546407,203.34930410310545,158.9609460783403,24.47474215479729,110.27128010047441,0.9927209705372617
19,6,27,7,279.11176784960963,201.05141532912126,147.84015106003324,20.67895276003148,100.11874208193214,0.9929644749413706
19,7,27,4,277.2183415565573,202.98688746207824,134.7404320272724,20.54375740668197,105.32450846924094,0.9935771174102938
19,8,27,5,279.4554910308372,201.51903815343047,147.55099732470907,23.619888451616937,110.4857877562767,0.9884442911348741
20,1,26,10,288.41482325513704,190.37192424013494,144.23076002919618,22.989626310744676,110.4883760073721,0.9822522522522522
